,Коммерческое наименование,Рыночные ниши,Технологии,Бизнес-модель,Сайт,type
59,ТМХ,IndustrialTech,,B2B; B2G,www.tmholding.ru,2
60,,,,,www.ruselectronics.ru,2
61,НЛМК,IndustrialTech,,B2B,https://nlmk.com/ru/,2
62,,,,,www.unityofbuddhism.ru; www.tagree.ru; www.rosbank.ru; www.custody.ru,2
63,ЛУКОЙЛ,IndustrialTech,,B2C; B2B,https://lukoil.ru/; https://www.lukoil.com/,2
64,Актион-МЦФЭР,EdTech; LegalTech; Мedia & Communication,,B2C; B2B; B2G,https://action.group/,2
65,,,,,www.interrao.ru,2
66,ВкусВилл,E-commerce; FoodTech,,B2C; B2B,https://vkusvill.ru/,2
67,УЗТМ-КАРТЭКС,IndustrialTech; Transport & Logistics,,B2B,https://uralmash-kartex.ru/,2
68,ФОРЭНЕРГО,IndustrialTech,,B2B,https://forenergo.ru/,2
69,Лента,E-commerce; RetailTech,,B2C; B2B,https://lenta.com/,2
